"SITE","TIME","QUADRAT","mean_leaf","sd_leaf","n_leaf","se_leaf"
"BB","1","1",3.34,0.585662018573853,5,0.261916017074176
"BB","1","2",3.94,0.270185121722126,5,0.120830459735946
"BB","1","3",3.88,0.605805249234438,5,0.270924343682881
"BB","1","4",4.56,0.879204185613331,5,0.39319206502675
"BB","1","5",4.04,0.68044103344816,5,0.304302481094059
"BB","1","6",3.14,0.598331012066064,5,0.267581763205193
"BB","1","7",4.1,0.632455532033676,5,0.282842712474619
"BB","1","8",4.68,0.511859355682789,5,0.228910462845192
"BB","1","9",4.74,0.779743547584717,5,0.348711915483254
"BB","1","10",3.66,0.826438140455775,5,0.369594372251527
"BB","1","11",3.72,0.370135110466435,5,0.165529453572468
"BB","1","12",2.88,0.661059755241536,5,0.29563490998189
"BB","1","13",3.7,0.908295106229247,5,0.406201920231798
"BB","1","14",4.36,0.559464029227974,5,0.250199920063936
"BB","1","15",3.82,1.03537432844358,5,0.463033476111609
"BB","5","1",NA,NA,0,NA
"BB","5","2",NA,NA,0,NA
"BB","5","3",NA,NA,0,NA
"BB","5","4",NA,NA,0,NA
"BB","5","5",NA,NA,0,NA
"BB","5","6",NA,NA,0,NA
"BB","5","7",NA,NA,0,NA
"BB","5","8",NA,NA,0,NA
"BB","5","9",NA,NA,0,NA
"BB","5","10",NA,NA,0,NA
"BB","5","11",NA,NA,0,NA
"BB","5","12",NA,NA,0,NA
"BB","5","13",NA,NA,0,NA
"BB","5","14",NA,NA,0,NA
"BB","5","15",NA,NA,0,NA
"FB","1","1",3.22,0.645755371638518,5,0.288790581563873
"FB","1","2",3.458,0.637040030139394,5,0.28489296235604
"FB","1","3",5.18,0.465832587954085,5,0.208326666559997
"FB","1","4",3.02,0.759605160593318,5,0.339705755029261
"FB","1","5",3.28,0.914877040918614,5,0.409145450909576
"FB","1","6",3.14,0.439317652729776,5,0.196468827043885
"FB","1","7",2.58,0.319374388453426,5,0.142828568570857
"FB","1","8",3.6,0.524404424085076,5,0.234520787991171
"FB","1","9",3.78,0.511859355682789,5,0.228910462845192
"FB","1","10",3.92,0.420713679359253,5,0.188148877222268
"FB","1","11",3.88,0.516720427310553,5,0.231084400165827
"FB","1","12",3.17,0.460434577328854,5,0.20591260281974
"FB","1","13",4.1,0.5,5,0.223606797749979
"FB","1","14",2.92,0.516720427310553,5,0.231084400165827
"FB","1","15",4.88,1.17132403714771,5,0.523832034148352
"LB","1","1",4.082,0.475625903415699,5,0.212706370379451
"LB","1","2",2.2,0.158113883008419,5,0.0707106781186547
"LB","1","3",3.349,0.453295341545296,10,0.143344573202708
"LB","1","5",3.54,0.634822809924155,5,0.283901391331568
"LB","1","6",3.118,0.511976561963534,5,0.228962879087419
"LB","1","7",3.22,0.661059755241536,5,0.29563490998189
"LB","1","8",4.2,0.469041575982343,5,0.20976176963403
"LB","1","9",3.36,0.517687164221791,5,0.231516738055804
"LB","1","10",3.28,0.782304288624318,5,0.349857113690718
"LB","1","11",3.46,0.415932686861708,5,0.186010752377383
"LB","1","12",3.16,0.270185121722126,5,0.120830459735946
"LB","1","13",3.434,0.411314964473698,5,0.18394564414522
"LB","1","14",3.336,0.568093302196039,5,0.254059048254535
"LB","1","15",3.42,0.402492235949962,5,0.18
"LB","5","1",NA,NA,0,NA
"LB","5","2",NA,NA,0,NA
"LB","5","3",NA,NA,0,NA
"LB","5","4",NA,NA,0,NA
"LB","5","5",NA,NA,0,NA
"LB","5","6",NA,NA,0,NA
"LB","5","7",NA,NA,0,NA
"LB","5","8",NA,NA,0,NA
"LB","5","9",NA,NA,0,NA
"LB","5","10",NA,NA,0,NA
"LB","5","11",NA,NA,0,NA
"LB","5","12",NA,NA,0,NA
"LB","5","13",NA,NA,0,NA
"LB","5","14",NA,NA,0,NA
"LB","5","15",NA,NA,0,NA
NA,NA,NA,NA,NA,0,NA
